172.16.47.118,255.255.255.255,3,336,0.017523,1381241517.505758,1381241517.523311,0.017553
172.16.47.147,172.16.47.255,12,600,0.750003,1381241514.079161,1381241529.172526,15.093365
172.16.47.147,224.0.0.252,8,176,0.099957,1381241513.779431,1381241527.472706,13.693275
172.16.47.155,172.16.47.255,4,200,0.799997,1381241513.206267,1381241523.706689,10.500422
172.16.47.155,224.0.0.252,2,48,0.410773,1381241522.156045,1381241522.566818,0.410773
172.16.47.160,172.16.47.254,6,0,0.499860,1381241529.360577,1381241530.357450,0.996873
172.16.47.169,172.16.47.255,6,300,0.027124,1381241527.416415,1381241528.942699,1.526284
172.16.47.169,224.0.0.252,4,88,0.027471,1381241527.116422,1381241527.243184,0.126762
172.16.47.193,172.16.47.255,3,150,0.751212,1381241520.371775,1381241521.873920,1.502145
172.16.47.193,224.0.0.252,2,44,0.410104,1381241520.372633,1381241520.782737,0.410104
172.16.47.213,172.16.47.255,9,450,0.622539,1381241514.001279,1381241530.185971,16.184692
172.16.47.225,172.16.47.254,6,0,0.506206,1381241530.324124,1381241531.331043,1.006919
172.16.47.226,172.16.47.255,56,2800,0.014802,1381241514.449177,1381241531.263087,16.813910
172.16.47.226,224.0.0.252,40,886,0.004888,1381241514.137014,1381241530.296331,16.159317
172.16.47.226,255.255.255.255,1,300,0.000000,1381241514.127659,1381241514.127659,0.000000
172.16.47.247,172.16.47.255,3,150,0.754478,1381241519.783635,1381241521.288166,1.504531
172.16.47.247,224.0.0.252,2,44,0.410335,1381241519.784529,1381241520.194864,0.410335
172.16.47.254,173.194.36.33,65,10271,0.001078,1381241516.183299,1381241526.744391,10.561092
172.16.47.254,173.194.36.36,18,4621,0.001509,1381241516.182654,1381241526.743817,10.561163
172.16.47.254,173.194.36.42,49,14128,0.006204,1381241516.183082,1381241526.744152,10.561070
172.16.47.254,173.194.36.53,265,182833,0.000670,1381241516.273246,1381241526.916238,10.642992
172.217.160.174,192.168.0.108,5,685,13.466624,1580824029.148880,1580824042.653221,13.504341
172.217.160.195,192.168.0.108,8,5528,0.037082,1580824028.781256,1580824031.049419,2.268163
172.217.160.206,192.168.0.108,42,30482,0.004129,1580824033.514531,1580824048.547420,15.032889
172.217.166.46,192.168.0.108,22,12153,0.035690,1580824035.451068,1580824050.557631,15.106563
172.217.166.164,192.168.0.108,74,51011,0.001780,1580824028.368482,1580824043.678138,15.309656
172.217.167.168,192.168.0.108,8,4066,0.034217,1580824030.974468,1580824033.047897,2.073429
172.217.174.229,192.168.0.108,1,1,0.000000,1580824028.803299,1580824028.803299,0.000000
172.217.174.234,192.168.0.108,4,2764,0.035315,1580824030.971575,1580824031.049101,0.077526
172.217.174.237,192.168.0.108,13,6755,0.026743,1580824033.513082,1580824033.689565,0.176483
192.0.73.2,192.168.0.108,4,944,0.040599,1580824031.034189,1580824031.120786,0.086597
192.30.253.124,192.168.0.108,3,53,8.789434,1580824037.972465,1580824046.761899,8.789434
192.168.0.1,239.255.255.250,13,4000,0.102356,1580824037.123363,1580824038.350537,1.227174
192.168.0.108,216.58.196.67,4,2764,0.038287,1580824033.838519,1580824033.939617,0.101098
192.168.0.108,216.58.196.77,2,52,0.000000,1580824037.886802,1580824037.892341,0.005539
192.168.0.108,216.58.196.78,45,29193,0.000196,1580824033.016688,1580824033.530342,0.513654
192.168.0.108,216.58.203.14,32,10538,0.071180,1580824033.452232,1580824049.518268,16.066036
192.168.0.108,216.58.203.35,8,6850,0.037547,1580824030.995177,1580824031.151550,0.156373
192.168.0.108,216.58.203.150,8,3324,0.031675,1580824027.362963,1580824027.460035,0.097072
